station_number,latitude,longitude,county,locality,address,institution
413,46.016586052555,21.214900011406634,JUDEŢUL ARAD,VINGA,"UAT: VINGA, Localitate: VINGA, Artera: Piaţa Maria, Nr: 7 Etaj: Parter  Rampa: Da",Şcoala Gimnazială nr. 2 Vinga
129,45.13330070084877,24.675533410416737,JUDEŢUL ARGEŞ,CURTEA DE ARGEŞ,"UAT: MUNICIPIUL CURTEA DE ARGEŞ, Localitate: CURTEA DE ARGEŞ Etaj: Parter  Rampa: Da",ȘCOALA GENERALĂ NR.5 ”ARMAND CĂLINESCU” (I)
552,47.00362010116224,21.97616221172852,JUDEŢUL BIHOR,SÂNMARTIN,"UAT: SÂNMARTIN, Localitate: SÂNMARTIN, Artera: Strada Ioan Slavici, Bl: AN12, AN13 Etaj: Parter  Rampa: Da",Grădiniţa cu program prelungit ”Prietenii copilăriei” Sânmartin
227,44.80107506004731,23.645892225542344,JUDEŢUL GORJ,HUREZANI,"UAT: HUREZANI, Localitate: HUREZANI, Artera: Strada Principală, Nr: 99 Etaj: Parter  Rampa: Da",ŞCOALA GENERALĂ HUREZANI
2,46.770584920284605,23.58479564980764,JUDEŢUL CLUJ,CLUJ-NAPOCA,"UAT: MUNICIPIUL CLUJ-NAPOCA, Localitate: CLUJ-NAPOCA, Artera: Strada Emil Isac (Strada 1 Mai), Nr: 19 Etaj: Parter  Rampa: Da",Colegiul Economic ”Iulian Pop”
244,46.27683800000004,24.457442800000045,JUDEŢUL MUREŞ,IDICIU,"UAT: BAHNEA, Localitate: IDICIU, Nr: 139 Etaj: Parter  Rampa: Da",CĂMIN CULTURAL IDICIU
304,45.20983457565309,25.436629699543126,JUDEŢUL DÂMBOVIŢA,LUNCA,"UAT: MOROENI, Localitate: LUNCA, Artera: Strada Principală, Nr: 162 Etaj: Parter  Rampa: Da",Scoala Veche - Grădinița Moroeni
513,46.48422899999999,28.22610199999999,JUDEŢUL VASLUI,BUMBĂTA,"UAT: VETRIŞOAIA, Localitate: BUMBĂTA, Artera: Strada Strada 52, Nr: 4 Etaj: Parter  Rampa: Nu e cazul",Centru Social Bumbăta
180,46.80697713346348,21.630600499885652,JUDEŢUL BIHOR,SALONTA,"UAT: MUNICIPIUL SALONTA, Localitate: SALONTA, Artera: Strada Andrei Mureşanu (Strada Crîngului), Nr: 1 Etaj: Parter  Rampa: Da",ȘCOALA GENERALĂ FÜVESKERT
208,47.64080880000001,26.722039900000006,JUDEŢUL BOTOŞANI,CRISTEŞTI,"UAT: CRISTEŞTI, Localitate: CRISTEŞTI Etaj: Parter  Rampa: Da",Scoala Gimnaziala nr. 1 Cristesti Corpul II
2,46.93058827173043,26.3683979739994,JUDEŢUL NEAMŢ,PIATRA-NEAMŢ,"UAT: MUNICIPIUL PIATRA-NEAMŢ, Localitate: PIATRA-NEAMŢ, Artera: Piaţa 22 Decembrie (Piaţa 6 Martie), Nr: 1 Etaj: Parter  Rampa: Da",Şcoala Gimnazială nr.3
294,47.42524833347344,24.33738992420637,JUDEŢUL BISTRIŢA-NĂSĂUD,BICHIGIU,"UAT: TELCIU, Localitate: BICHIGIU, Nr: 117A Etaj: Parter  Rampa: Da",ŞCOALA GIMNAZIALĂ BICHIGIU
123,47.35175000000003,25.30781000000003,JUDEŢUL SUCEAVA,VATRA DORNEI,"UAT: MUNICIPIUL VATRA DORNEI, Localitate: VATRA DORNEI, Artera: Strada Roşu, Nr: 103 Etaj: Parter  Rampa: Da","Centrul Social de Primire, Asistare și Îngrijire a Persoanelor Vârstnice"
